日期,时间,成交价,成交量,总量,属性(持仓增减),B1价,B1量,B2价,B2量,B3价,B3量,S1价,S1量,S2价,S2量,S3价,S3量,BS
2015-08-17,20:59:00,2055.0,6880,6880,2437612,2055.0,338,0,0,0,0,2056.0,67,0,0,0,0,B
2015-08-17,21:00:00,2056.0,1794,8674,442,2054.0,1403,0,0,0,0,2055.0,4,0,0,0,0,B
2015-08-17,21:00:01,2054.0,1678,10352,-674,2054.0,888,0,0,0,0,2055.0,3,0,0,0,0,S
2015-08-17,21:00:01,2057.0,1308,11660,-636,2055.0,2,0,0,0,0,2057.0,349,0,0,0,0,B
2015-08-17,21:00:02,2056.0,692,12352,166,2055.0,179,0,0,0,0,2056.0,173,0,0,0,0,S
2015-08-17,21:00:02,2056.0,328,12680,72,2055.0,230,0,0,0,0,2056.0,160,0,0,0,0,S
2015-08-17,21:00:03,2056.0,872,13552,634,2055.0,370,0,0,0,0,2056.0,143,0,0,0,0,S
2015-08-17,21:00:03,2055.0,168,13720,54,2055.0,380,0,0,0,0,2056.0,92,0,0,0,0,S
2015-08-17,21:00:04,2056.0,250,13970,-134,2056.0,363,0,0,0,0,2057.0,355,0,0,0,0,B
2015-08-17,21:00:04,2057.0,36,14006,24,2056.0,373,0,0,0,0,2057.0,364,0,0,0,0,B
2015-08-17,21:00:05,2056.0,284,14290,186,2056.0,299,0,0,0,0,2057.0,320,0,0,0,0,S
2015-08-17,21:00:05,2056.0,60,14350,16,2056.0,291,0,0,0,0,2057.0,320,0,0,0,0,S
2015-08-17,21:00:06,2056.0,304,14654,-18,2056.0,292,0,0,0,0,2057.0,177,0,0,0,0,S
2015-08-17,21:00:06,2056.0,182,14836,98,2056.0,272,0,0,0,0,2057.0,117,0,0,0,0,S
2015-08-17,21:00:07,2057.0,326,15162,-126,2057.0,351,0,0,0,0,2058.0,308,0,0,0,0,B
2015-08-17,21:00:07,2057.0,174,15336,128,2057.0,407,0,0,0,0,2058.0,288,0,0,0,0,B
2015-08-17,21:00:08,2057.0,332,15668,278,2057.0,332,0,0,0,0,2058.0,233,0,0,0,0,B
2015-08-17,21:00:08,2058.0,184,15852,168,2057.0,300,0,0,0,0,2058.0,256,0,0,0,0,B
2015-08-17,21:00:09,2058.0,72,15924,62,2057.0,272,0,0,0,0,2058.0,297,0,0,0,0,B
2015-08-17,21:00:09,2058.0,184,16108,12,2057.0,271,0,0,0,0,2058.0,266,0,0,0,0,B
2015-08-17,21:00:10,2058.0,186,16294,2,2057.0,272,0,0,0,0,2058.0,245,0,0,0,0,B
2015-08-17,21:00:10,2058.0,142,16436,54,2057.0,234,0,0,0,0,2058.0,325,0,0,0,0,B
2015-08-17,21:00:11,2057.0,514,16950,190,2056.0,472,0,0,0,0,2057.0,561,0,0,0,0,S
2015-08-17,21:00:11,2056.0,100,17050,4,2056.0,388,0,0,0,0,2057.0,789,0,0,0,0,S
2015-08-17,21:00:12,2057.0,136,17186,-22,2056.0,379,0,0,0,0,2057.0,751,0,0,0,0,B
2015-08-17,21:00:12,2056.0,574,17760,36,2056.0,133,0,0,0,0,2057.0,723,0,0,0,0,S
2015-08-17,21:00:13,2056.0,358,18118,106,2055.0,1458,0,0,0,0,2056.0,389,0,0,0,0,S
2015-08-17,21:00:13,2055.0,544,18662,56,2055.0,1278,0,0,0,0,2056.0,121,0,0,0,0,S
2015-08-17,21:00:14,2056.0,52,18714,26,2055.0,1273,0,0,0,0,2056.0,604,0,0,0,0,B
2015-08-17,21:00:14,2055.0,226,18940,200,2055.0,1256,0,0,0,0,2056.0,514,0,0,0,0,S
2015-08-17,21:00:15,2056.0,40,18980,14,2055.0,1254,0,0,0,0,2056.0,504,0,0,0,0,B
2015-08-17,21:00:15,2056.0,94,19074,42,2055.0,1259,0,0,0,0,2056.0,460,0,0,0,0,B
2015-08-17,21:00:16,2056.0,58,19132,28,2055.0,1255,0,0,0,0,2056.0,439,0,0,0,0,B
2015-08-17,21:00:16,2055.0,160,19292,38,2055.0,1192,0,0,0,0,2056.0,437,0,0,0,0,S
2015-08-17,21:00:17,2056.0,76,19368,72,2055.0,1213,0,0,0,0,2056.0,438,0,0,0,0,B
2015-08-17,21:00:17,2055.0,278,19646,232,2055.0,1170,0,0,0,0,2056.0,359,0,0,0,0,S
